Freq	Chan A	Chan B
347000,00000000 	 0,63389975 	 -149,59568787
355000,00000000 	 0,63691723 	 -149,13859558
363000,00000000 	 0,64118183 	 -148,38020325
372000,00000000 	 0,64690697 	 -147,75765991
380000,00000000 	 0,64872819 	 -147,33189392
389000,00000000 	 0,65361720 	 -146,74783325
398000,00000000 	 0,65869588 	 -146,06619263
407000,00000000 	 0,66290063 	 -145,35873413
417000,00000000 	 0,66862535 	 -144,71185303
427000,00000000 	 0,67455125 	 -143,90615845
437000,00000000 	 0,68130296 	 -143,35710144
447000,00000000 	 0,68780291 	 -142,58216858
457000,00000000 	 0,69472378 	 -141,76673889
468000,00000000 	 0,70228660 	 -141,08351135
479000,00000000 	 0,71049899 	 -140,28694153
490000,00000000 	 0,71717703 	 -139,55885315
501000,00000000 	 0,72642732 	 -138,66720581
513000,00000000 	 0,73486137 	 -137,93399048
525000,00000000 	 0,74600208 	 -137,06806946
537000,00000000 	 0,75517923 	 -136,29748535
550000,00000000 	 0,76721883 	 -135,37705994
562000,00000000 	 0,77826011 	 -134,70443726
575000,00000000 	 0,78933352 	 -133,84524536
589000,00000000 	 0,80357361 	 -133,01562500
603000,00000000 	 0,81699634 	 -132,09130859
617000,00000000 	 0,82947397 	 -131,30360413
631000,00000000 	 0,84454829 	 -130,48831177
646000,00000000 	 0,85943228 	 -129,68424988
661000,00000000 	 0,87419933 	 -128,91578674
676000,00000000 	 0,89174736 	 -128,10536194
692000,00000000 	 0,90876245 	 -127,24879456
708000,00000000 	 0,92461681 	 -126,48678589
724000,00000000 	 0,94335771 	 -125,66471100
741000,00000000 	 0,96340060 	 -124,90728760
759000,00000000 	 0,98550713 	 -124,01625061
776000,00000000 	 1,00394571 	 -123,36547852
794000,00000000 	 1,02586973 	 -122,59364319
813000,00000000 	 1,04360855 	 -122,05512238
832000,00000000 	 1,07284296 	 -121,15122986
851000,00000000 	 1,09681106 	 -120,39536285
871000,00000000 	 1,12220657 	 -119,69673157
891000,00000000 	 1,14824307 	 -118,95135498
912000,00000000 	 1,17482281 	 -118,28739166
933000,00000000 	 1,20334399 	 -117,66551208
955000,00000000 	 1,23243380 	 -116,95685577
977000,00000000 	 1,26426232 	 -116,27862549
1000000,00000000 	 1,32019544 	 -115,42819214
1023000,00000000 	 1,32536709 	 -115,11691284
1047000,00000000 	 1,35836995 	 -114,54502869
1072000,00000000 	 1,39249766 	 -114,00013733
1096000,00000000 	 1,42440629 	 -113,49271393
1122000,00000000 	 1,46243119 	 -112,89795685
1148000,00000000 	 1,49867260 	 -112,40316010
1175000,00000000 	 1,53549838 	 -111,85776520
1202000,00000000 	 1,57419741 	 -111,39174652
1230000,00000000 	 1,61176324 	 -110,92372131
1259000,00000000 	 1,65148807 	 -110,50495148
1288000,00000000 	 1,69332290 	 -110,06349182
1318000,00000000 	 1,73521101 	 -109,60952759
1349000,00000000 	 1,77918291 	 -109,19747925
1380000,00000000 	 1,82261038 	 -108,77890015
1413000,00000000 	 1,86541331 	 -108,40946198
1445000,00000000 	 1,91048300 	 -108,06945038
1479000,00000000 	 1,95885623 	 -107,70685577
1514000,00000000 	 2,00643849 	 -107,41840363
1549000,00000000 	 2,05450773 	 -107,06139374
1585000,00000000 	 2,10317206 	 -106,75456238
1622000,00000000 	 2,15266776 	 -106,47708893
1660000,00000000 	 2,20358896 	 -106,19452667
1698000,00000000 	 2,25338054 	 -105,91861725
1738000,00000000 	 2,30747652 	 -105,62995911
1778000,00000000 	 2,35941553 	 -105,38643646
1820000,00000000 	 2,41433835 	 -105,17041016
1862000,00000000 	 2,46923280 	 -104,92062378
1905000,00000000 	 2,52218461 	 -104,69132996
1950000,00000000 	 2,57935619 	 -104,47341919
1995000,00000000 	 2,63519645 	 -104,30656433
2042000,00000000 	 2,69382644 	 -104,10714722
2089000,00000000 	 2,75054097 	 -103,94800568
2138000,00000000 	 2,80665541 	 -103,78157043
2188000,00000000 	 2,86559176 	 -103,60933685
2239000,00000000 	 2,92438745 	 -103,47000122
2291000,00000000 	 2,98521709 	 -103,33119202
2344000,00000000 	 3,04427099 	 -103,19154358
2399000,00000000 	 3,10756826 	 -103,07107544
2455000,00000000 	 3,16919422 	 -102,94979095
2512000,00000000 	 3,23271251 	 -102,83384705
2570000,00000000 	 3,29371548 	 -102,73365021
2630000,00000000 	 3,35638523 	 -102,62900543
2692000,00000000 	 3,42238617 	 -102,54199982
2754000,00000000 	 3,48353720 	 -102,46461487
2818000,00000000 	 3,54697633 	 -102,41295624
2884000,00000000 	 3,61100459 	 -102,33727264
2951000,00000000 	 3,67300916 	 -102,29308319
3020000,00000000 	 3,73351216 	 -102,25354767
3090000,00000000 	 3,79520655 	 -102,21205139
3162000,00000000 	 3,85284638 	 -102,20341492
3236000,00000000 	 3,91090512 	 -102,17818451
3311000,00000000 	 3,96996760 	 -102,16662598
3388000,00000000 	 4,02584839 	 -102,18380737
3467000,00000000 	 4,08285236 	 -102,18972778
3548000,00000000 	 4,13766050 	 -102,20634460
3631000,00000000 	 4,19249201 	 -102,22961426
3715000,00000000 	 4,24167538 	 -102,26707458
3802000,00000000 	 4,29352856 	 -102,29830933
3890000,00000000 	 4,33988380 	 -102,35562897
3981000,00000000 	 4,38606930 	 -102,43574524
4074000,00000000 	 4,42780352 	 -102,49774170
4169000,00000000 	 4,47069597 	 -102,57097626
4266000,00000000 	 4,50800228 	 -102,65666199
4365000,00000000 	 4,54414988 	 -102,75431061
4467000,00000000 	 4,58052397 	 -102,87380219
4571000,00000000 	 4,61515284 	 -103,00534058
4677000,00000000 	 4,64764261 	 -103,11092377
4786000,00000000 	 4,67730093 	 -103,26560974
4898000,00000000 	 4,70327091 	 -103,42664337
5012000,00000000 	 4,72441673 	 -103,60771179
5129000,00000000 	 4,74412775 	 -103,79448700
5248000,00000000 	 4,75570965 	 -103,99806213
5370000,00000000 	 4,76372433 	 -104,24351501
5495000,00000000 	 4,76687765 	 -104,50035858
5623000,00000000 	 4,76608801 	 -104,76844788
5754000,00000000 	 4,75773239 	 -105,06217194
5888000,00000000 	 4,75021791 	 -105,36404419
6026000,00000000 	 4,73835278 	 -105,71762848
6166000,00000000 	 4,72218370 	 -106,07318115
6310000,00000000 	 4,70415020 	 -106,44981384
6457000,00000000 	 4,68246889 	 -106,87124634
6607000,00000000 	 4,65597868 	 -107,31172180
6761000,00000000 	 4,62507439 	 -107,82728577
6918000,00000000 	 4,58989859 	 -108,35829163
7079000,00000000 	 4,55302715 	 -108,94524384
7244000,00000000 	 4,50976229 	 -109,55850220
7413000,00000000 	 4,46567631 	 -110,23945618
7586000,00000000 	 4,41670418 	 -110,99587250
7762000,00000000 	 4,36090708 	 -111,77205658
7943000,00000000 	 4,30699015 	 -112,65339661
8128000,00000000 	 4,25050688 	 -113,56996155
8318000,00000000 	 4,19095469 	 -114,62268066
8511000,00000000 	 4,12866879 	 -115,76484680
8710000,00000000 	 4,06018543 	 -117,01860046
8913000,00000000 	 3,98538685 	 -118,43830109
9120000,00000000 	 3,90148163 	 -120,02525330
9333000,00000000 	 3,81585979 	 -121,83006287
9550000,00000000 	 3,73378634 	 -123,69293213
9772000,00000000 	 3,66281724 	 -125,69652557
10000000,00000000 	 3,01939249 	 -139,29966736
